State,Period,Visitor Arrival 
Tasmania,Feb 2018,12.29
Tasmania,Mar 2018,9.30
Tasmania,Apr 2018,6.16
Tasmania,May 2018,4.40
Tasmania,Jun 2018,4.69
Tasmania,Jul 2018,5.35
Tasmania,Aug 2018,3.79
Tasmania,Sep 2018,4.80
Tasmania,Oct 2018,6.29
Tasmania,Nov 2018,9.15
Tasmania,Dec 2018,14.55
Tasmania,Jan 2019,8.54
Tasmania,Feb 2019,13.27
Tasmania,Mar 2019,8.73
Tasmania,Apr 2019,6.54
Tasmania,May 2019,4.64
Tasmania,Jun 2019,4.54
Tasmania,Jul 2019,5.67
Tasmania,Aug 2019,5.95
Tasmania,Sep 2019,5.13
Tasmania,Oct 2019,6.83
Tasmania,Nov 2019,10.32
Tasmania,Dec 2019,14.90
Tasmania,Jan 2020,10.45
Tasmania,Feb 2020,9.37
Tasmania,Mar 2020,4.31
Tasmania,Apr 2020,0.01
Tasmania,May 2020,0.02
Tasmania,Jun 2020,0.01
Tasmania,Jul 2020,0.03
Tasmania,Aug 2020,0.01
Tasmania,Sep 2020,0.02
Tasmania,Oct 2020,0.05
Tasmania,Nov 2020,0.05
Tasmania,Dec 2020,0.30
Tasmania,Jan 2021,0.34
Tasmania,Feb 2021,0.08
Tasmania,Mar 2021,0.12
Tasmania,Apr 2021,0.22
Tasmania,May 2021,0.36
Tasmania,Jun 2021,0.40
Tasmania,Jul 2021,0.36
Tasmania,Aug 2021,0.18
Tasmania,Sep 2021,0.13
Tasmania,Oct 2021,0.34
Tasmania,Nov 2021,0.53
Tasmania,Dec 2021,1.04
Tasmania,Jan 2022,0.72
Tasmania,Feb 2022,0.91
Tasmania,Mar 2022,1.74
Tasmania,Apr 2022,2.33
Tasmania,May 2022,2.05
Tasmania,Jun 2022,2.80
Tasmania,Jul 2022,2.66
Tasmania,Aug 2022,2.73
Tasmania,Sep 2022,3.03
Tasmania,Oct 2022,5.22
Tasmania,Nov 2022,7.51
Tasmania,Dec 2022,10.15
Tasmania,Jan 2023,5.92
Tasmania,Feb 2023,8.18
Tasmania,Mar 2023,8.26
Tasmania,Apr 2023,5.15
Tasmania,May 2023,3.74
Tasmania,Jun 2023,4.77
Tasmania,Jul 2023,4.15
Tasmania,Aug 2023,4.14
