State,Year,TemporaryStudentVisaTYpe,Value
Tasmania,2006,Schools,390
Tasmania,2006,Independent ELICOS(f),170
Tasmania,2006,Postgraduate Research,170
Tasmania,2006,Other Students,230
Tasmania,2007,Higher Education,2050
Tasmania,2007,Vocational Educ. & Training,180
Tasmania,2007,Schools,430
Tasmania,2007,Independent ELICOS(f),150
Tasmania,2007,Postgraduate Research,180
Tasmania,2007,Other Students,270
Tasmania,2008,Higher Education,2320
Tasmania,2008,Vocational Educ. & Training,350
Tasmania,2008,Schools,590
Tasmania,2008,Independent ELICOS(f),180
Tasmania,2008,Postgraduate Research,230
Tasmania,2008,Other Students,280
Tasmania,2009,Higher Education,2780
Tasmania,2009,Vocational Educ. & Training,370
Tasmania,2009,Schools,370
Tasmania,2009,Independent ELICOS(f),150
Tasmania,2009,Postgraduate Research,250
Tasmania,2009,Other Students,340
Tasmania,2010,Higher Education,2770
Tasmania,2010,Vocational Educ. & Training,270
Tasmania,2010,Schools,460
Tasmania,2010,Independent ELICOS(f),120
Tasmania,2010,Postgraduate Research,300
Tasmania,2010,Other Students,330
Tasmania,2011,Higher Education,2610
Tasmania,2011,Vocational Educ. & Training,210
Tasmania,2011,Schools,290
Tasmania,2011,Independent ELICOS(f),140
Tasmania,2011,Postgraduate Research,280
Tasmania,2011,Other Students,340
Tasmania,2012,Higher Education,2640
Tasmania,2012,Vocational Educ. & Training,190
Tasmania,2012,Schools,270
Tasmania,2012,Independent ELICOS(f),90
Tasmania,2012,Postgraduate Research,330
Tasmania,2012,Other Students,290
Tasmania,2013,Higher Education,2830
Tasmania,2013,Vocational Educ. & Training,210
Tasmania,2013,Schools,290
Tasmania,2013,Independent ELICOS(f),30
Tasmania,2013,Postgraduate Research,350
Tasmania,2013,Other Students,210
Tasmania,2014,Higher Education,3060
Tasmania,2014,Vocational Educ. & Training,160
Tasmania,2014,Schools,290
Tasmania,2014,Independent ELICOS(f),40
Tasmania,2014,Postgraduate Research,390
Tasmania,2014,Other Students,420
Tasmania,2015,Higher Education,3350
